intent,intent_size,dimensions,n_customers,support
R4 & F3 & M2,3,RFM,65,0.011058183055461041
R2 & F2 & M3,3,RFM,64,0.010888057162300102
R3 & F3 & M2,3,RFM,61,0.010377679482817285
R4 & F2 & M2,3,RFM,59,0.010037427696495406
R1 & F2 & M3,3,RFM,56,0.00952705001701259
R2 & F3 & M4,3,RFM,55,0.00935692412385165
R3 & F4 & M5,3,RFM,55,0.00935692412385165
R2 & F5,2,RF,54,0.00918679823069071
R5 & F1,2,RF,54,0.00918679823069071
R3 & F5 & M4,3,RFM,54,0.00918679823069071
R3 & F2 & M1,3,RFM,53,0.009016672337529771
R4 & F2 & M3,3,RFM,53,0.009016672337529771
R3 & F2 & M3,3,RFM,52,0.008846546444368834
R4 & F3 & M4,3,RFM,51,0.008676420551207894
R1 & F3 & M2,3,RFM,49,0.008336168764886015
F3 & M5,2,FM,46,0.007825791085403199
R4 & F2 & M1,3,RFM,43,0.007315413405920381
R5 & F3 & M4,3,RFM,43,0.007315413405920381
R5 & F4 & M5,3,RFM,42,0.007145287512759442
R5 & F3 & M2,3,RFM,41,0.006975161619598503
R5 & F2 & M2,3,RFM,39,0.006634909833276624
R1 & M5,2,RM,38,0.006464783940115686
R1 & F3 & M4,3,RFM,36,0.006124532153793808
R1 & F4 & M4,3,RFM,34,0.005784280367471929
R2 & F1 & M3,3,RFM,34,0.005784280367471929
R2 & F5 & M5,3,RFM,34,0.005784280367471929
R1 & F1 & M3,3,RFM,33,0.00561415447431099
R5 & F2 & M3,3,RFM,32,0.005444028581150051
R4 & F1 & M2,3,RFM,31,0.005273902687989112
R2 & F4 & M5,3,RFM,28,0.004763525008506295
R5 & F1 & M1,3,RFM,27,0.004593399115345355
F1 & M4,2,FM,26,0.004423273222184417
R3 & F4 & M2,3,RFM,26,0.004423273222184417
R5 & F2 & M1,3,RFM,26,0.004423273222184417
R5 & F1 & M2,3,RFM,23,0.003912895542701599
R1 & F3 & M1,3,RFM,21,0.003572643756379721
R1 & F4 & M3,3,RFM,21,0.003572643756379721
R3 & F1 & M3,3,RFM,21,0.003572643756379721
R3 & F2 & M4,3,RFM,20,0.003402517863218782
R4 & F3 & M1,3,RFM,19,0.003232391970057843
F5 & M3,2,FM,18,0.003062266076896904
R2 & F4 & M2,3,RFM,18,0.003062266076896904
R2 & F5 & M4,3,RFM,18,0.003062266076896904
R1 & F5,2,RF,17,0.0028921401837359645
R1 & F2 & M4,3,RFM,17,0.0028921401837359645
R3 & F3 & M1,3,RFM,16,0.0027220142905750254
R2 & F2 & M4,3,RFM,15,0.0025518883974140864
F2 & M5,2,FM,14,0.0023817625042531474
R2 & F3 & M1,3,RFM,14,0.0023817625042531474
R5 & F3 & M1,3,RFM,13,0.0022116366110922084
R3 & F3 & M5,3,RFM,12,0.002041510717931269
R4 & F1 & M3,3,RFM,12,0.002041510717931269
R1 & F5 & M5,3,RFM,11,0.00187138482477033
R2 & F1 & M4,3,RFM,11,0.00187138482477033
R1 & F4 & M5,3,RFM,10,0.001701258931609391
R3 & F5 & M3,3,RFM,10,0.001701258931609391
R4 & F2 & M4,3,RFM,10,0.001701258931609391
R4 & F3 & M5,3,RFM,10,0.001701258931609391
R4 & F4 & M2,3,RFM,10,0.001701258931609391
R5 & F4 & M2,3,RFM,10,0.001701258931609391
R5 & F2 & M4,3,RFM,9,0.001531133038448452
R5 & F3 & M5,3,RFM,9,0.001531133038448452
F4 & M1,2,FM,8,0.0013610071452875127
R2 & F3 & M5,3,RFM,8,0.0013610071452875127
F1 & M5,2,FM,7,0.0011908812521265737
R1 & F1 & M4,3,RFM,7,0.0011908812521265737
R1 & F3 & M5,3,RFM,7,0.0011908812521265737
R3 & F1 & M4,3,RFM,7,0.0011908812521265737
R1 & F2 & M5,3,RFM,6,0.0010207553589656345
R1 & F4 & M2,3,RFM,5,0.0008506294658046955
R1 & F5 & M4,3,RFM,5,0.0008506294658046955
R1 & F1 & M5,3,RFM,4,0.0006805035726437564
F5 & M2,2,FM,3,0.0005103776794828172
R2 & F2 & M5,3,RFM,3,0.0005103776794828172
R5 & F1 & M3,3,RFM,3,0.0005103776794828172
R5 & F5 & M3,3,RFM,3,0.0005103776794828172
R1 & F4 & M1,3,RFM,2,0.0003402517863218782
R2 & F4 & M1,3,RFM,2,0.0003402517863218782
R2 & F5 & M3,3,RFM,2,0.0003402517863218782
R3 & F1 & M5,3,RFM,2,0.0003402517863218782
R3 & F2 & M5,3,RFM,2,0.0003402517863218782
R3 & F4 & M1,3,RFM,2,0.0003402517863218782
R3 & F5 & M2,3,RFM,2,0.0003402517863218782
R4 & F4 & M1,3,RFM,2,0.0003402517863218782
R4 & F5 & M3,3,RFM,2,0.0003402517863218782
R5 & F2 & M5,3,RFM,2,0.0003402517863218782
R1 & F5 & M3,3,RFM,1,0.0001701258931609391
R3 & F5 & M1,3,RFM,1,0.0001701258931609391
R4 & F1 & M4,3,RFM,1,0.0001701258931609391
R4 & F2 & M5,3,RFM,1,0.0001701258931609391
R5 & F1 & M5,3,RFM,1,0.0001701258931609391
R5 & F5 & M2,3,RFM,1,0.0001701258931609391
R1 & R2 & R3 & R4 & R5 & F1 & F2 & F3 & F4 & F5 & M1 & M2 & M3 & M4 & M5,15,RFM,0,0.0
