intent,intent_size,dimensions,n_customers,support,stability_proxy,is_kneedle_pruned
F1@0.3 & M4@0.3 & R5@0.3 & R5@0.5,4,RFM,1124,0.19122150391289555,0.9973309608540926,True
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3 & R5@0.5,5,RFM,1064,0.1810139503232392,0.9971804511278195,True
M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,RM,1033,0.17574004763525009,0.9941916747337851,True
M5@0.3 & R5@0.3,2,RM,1026,0.1745491663831235,0.9922027290448343,True
F1@0.3 & M1@0.3 & M1@0.5 & M1@0.7,4,FM,1006,0.17114664851990474,0.9950298210735586,True
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7,6,FM,1005,0.1709765226267438,0.9950248756218906,True
F1@0.3 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RFM,1002,0.17046614494726098,0.9970059880239521,True
M5@0.3 & R5@0.3 & R5@0.5,3,RM,992,0.1687648860156516,0.9949596774193549,True
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5,5,FM,981,0.16689350119088125,0.9908256880733946,True
R4@0.3 & R4@0.5,2,R,962,0.16366110922082341,0.9792099792099792,True
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,946,0.16093909493024838,0.9968287526427061,True
