intent,intent_size,dimensions,n_customers,support,stability_proxy,is_kneedle_pruned
F1@0.3 & M4@0.3 & R5@0.3 & R5@0.5,4,RFM,1124,0.19122150391289555,0.9973309608540926,True
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3 & R5@0.5,5,RFM,1064,0.1810139503232392,0.9971804511278195,True
M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,RM,1033,0.17574004763525009,0.9941916747337851,True
M5@0.3 & R5@0.3,2,RM,1026,0.1745491663831235,0.9922027290448343,True
F1@0.3 & M1@0.3 & M1@0.5 & M1@0.7,4,FM,1006,0.17114664851990474,0.9950298210735586,True
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7,6,FM,1005,0.1709765226267438,0.9950248756218906,True
F1@0.3 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RFM,1002,0.17046614494726098,0.9970059880239521,True
M5@0.3 & R5@0.3 & R5@0.5,3,RM,992,0.1687648860156516,0.9949596774193549,True
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5,5,FM,981,0.16689350119088125,0.9908256880733946,True
R4@0.3 & R4@0.5,2,R,962,0.16366110922082341,0.9792099792099792,True
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,946,0.16093909493024838,0.9968287526427061,True
F1@0.3 & R4@0.3 & R4@0.5,3,RF,945,0.16076896903708746,0.9841269841269842,False
F1@0.3 & F1@0.5 & R4@0.3 & R4@0.5,4,RF,936,0.159237835998639,0.983974358974359,False
F1@0.3 & F1@0.5 & M3@0.3 & R5@0.3,4,RFM,926,0.15753657706702962,0.9935205183585313,False
M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,RM,925,0.15736645117386866,0.9945945945945946,False
M4@0.3 & M4@0.5 & R5@0.3,3,RM,924,0.15719632528070773,0.9924242424242424,False
M5@0.3 & M5@0.5,2,M,923,0.15702619938754678,0.9826652221018418,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R5@0.3,5,RFM,914,0.15549506634909832,0.9934354485776805,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & R5@0.3,5,RFM,910,0.15481456277645458,0.9934065934065934,False
F1@0.3 & M4@0.3 & M4@0.5 & R5@0.3,4,RFM,907,0.15430418509697175,0.9955898566703418,False
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5,5,RF,898,0.15277305205852332,0.9832962138084632,False
F2@0.3,1,F,880,0.1497107859816264,0.9772727272727273,False
R3@0.3 & R3@0.5,2,R,880,0.1497107859816264,0.9863636363636363,False
F1@0.3 & R3@0.3 & R3@0.5,3,RF,875,0.1488601565158217,0.9897142857142858,False
F1@0.3 & F1@0.5 & R3@0.3 & R3@0.5,4,RF,869,0.14783940115685607,0.9896432681242808,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & R5@0.3,5,RFM,866,0.14732902347737326,0.9953810623556582,False
M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,4,RM,863,0.14681864579789045,0.9942062572421785,False
F1@0.3 & F1@0.5 & M3@0.3 & R5@0.3 & R5@0.5,5,RFM,859,0.14613814222524668,0.9965075669383003,False
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5,5,RF,856,0.14562776454576387,0.9894859813084113,False
F1@0.3 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,5,RFM,847,0.14409663150731541,0.9976387249114522,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R5@0.3 & R5@0.5,6,RFM,847,0.14409663150731541,0.9964580873671782,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & R5@0.3 & R5@0.5,6,RFM,843,0.14341612793467165,0.99644128113879,False
M5@0.3 & M5@0.5 & R5@0.3,3,RM,835,0.14205512078938415,0.9904191616766467,False
M4@0.3 & M4@0.5 & M4@0.7,3,M,831,0.14137461721674038,0.9843561973525873,False
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7,4,FM,818,0.1391629806056482,0.988997555012225,False
F2@0.3 & R5@0.3,2,RF,811,0.13797209935352162,0.9864364981504316,False
M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,4,RM,808,0.13746172167403878,0.9938118811881188,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,6,RFM,807,0.13729159578087785,0.9975216852540273,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & M3@0.7,5,FM,801,0.1362708404219122,0.9937578027465668,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & M3@0.7,6,FM,796,0.1354202109561075,0.9937185929648241,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7,5,FM,792,0.13473970738346377,0.98989898989899,False
F2@0.3 & R5@0.3 & R5@0.5,3,RF,791,0.13456958149030282,0.9911504424778761,False
R2@0.3,1,R,780,0.13269819666553248,0.9756410256410256,False
F1@0.3 & M5@0.3,2,FM,778,0.13235794487921063,0.993573264781491,False
F1@0.3 & R2@0.3,2,RF,776,0.13201769309288874,0.9806701030927835,False
F1@0.3 & F1@0.5 & R2@0.3,3,RF,775,0.1318475671997278,0.9806451612903225,False
F1@0.3 & M2@0.3 & M2@0.5 & M2@0.7,4,FM,774,0.13167744130656686,0.9935400516795866,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M2@0.7,6,FM,773,0.13150731541340593,0.9935316946959897,False
F1@0.3 & F1@0.5 & M3@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,769,0.13082681184076217,0.9960988296488946,False
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3,4,RF,768,0.13065668594760121,0.98046875,False
M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,5,RM,765,0.1301463082681184,0.9934640522875817,False
M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,5,RM,758,0.12895542701599183,0.9934036939313984,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,757,0.1287853011228309,0.9960369881109643,False
F1@0.3 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,749,0.12742429397754337,0.9973297730307076,False
M5@0.3 & M5@0.5 & M5@0.7,3,M,748,0.12725416808438245,0.9786096256684492,False
F2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,RF,747,0.1270840421912215,0.9906291834002677,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,740,0.12589316093909492,0.995945945945946,False
F2@0.3 & M5@0.3,2,FM,713,0.12129976182374957,0.9859747545582047,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,712,0.12112963593058863,0.9971910112359551,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R5@0.3,5,RFM,701,0.11925825110581831,0.9942938659058488,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R5@0.3,6,RFM,696,0.11840762164001362,0.9942528735632183,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & R5@0.3,6,RFM,694,0.11806736985369173,0.9956772334293948,False
F1@0.3 & M2@0.3 & R5@0.3,3,RFM,683,0.11619598502892141,0.9912152269399708,False
F1@0.3 & F1@0.5 & M2@0.3 & R5@0.3,4,RFM,682,0.11602585913576047,0.9912023460410557,False
M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3,4,RM,682,0.11602585913576047,0.9882697947214076,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & M4@0.7,6,FM,682,0.11602585913576047,0.9882697947214076,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3,5,RFM,681,0.11585573324259953,0.9911894273127754,False
F2@0.3 & M5@0.3 & R5@0.3,3,RFM,668,0.11364409663150732,0.9910179640718563,False
F1@0.3 & M5@0.3 & R5@0.3,3,RFM,667,0.11347397073834638,0.9970014992503748,False
M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5,5,RM,662,0.11262334127254169,0.9924471299093656,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5,6,RFM,657,0.11177271180673698,0.9969558599695586,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5,7,RFM,652,0.11092208234093229,0.9969325153374233,False
F2@0.3 & M5@0.3 & R5@0.3 & R5@0.5,4,RFM,651,0.11075195644777135,0.9953917050691244,False
F1@0.3 & M5@0.3 & R5@0.3 & R5@0.5,4,RFM,639,0.10871044572984008,0.9984350547730829,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,7,RFM,639,0.10871044572984008,0.9968701095461658,False
F1@0.3 & M2@0.3 & R5@0.3 & R5@0.5,4,RFM,629,0.1070091867982307,0.9952305246422893,False
F1@0.3 & F1@0.5 & M2@0.3 & R5@0.3 & R5@0.5,5,RFM,628,0.10683906090506975,0.9952229299363057,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3 & R5@0.5,6,RFM,627,0.10666893501190881,0.9952153110047847,False
M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5 & R5@0.7,6,RM,623,0.10598843143926506,0.9919743178170144,False
F1@0.3 & F1@0.5 & M5@0.3,3,FM,622,0.10581830554610412,0.9919614147909968,False
M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,4,RM,620,0.10547805375978224,0.9919354838709677,False
F2@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RFM,618,0.10513780197346036,0.9951456310679612,False
F2@0.3 & M5@0.3 & M5@0.5,3,FM,615,0.10462742429397755,0.983739837398374,False
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,5,RFM,610,0.10377679482817284,0.9950819672131147,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,598,0.10173528411024158,0.9966555183946488,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5 & R5@0.7,8,RFM,593,0.10088465464443688,0.9966273187183811,False
F1@0.3 & F2@0.3,2,F,588,0.10003402517863219,0.9795918367346939,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,6,RFM,588,0.10003402517863219,0.9948979591836735,False
R1@0.3,1,R,587,0.09986389928547125,0.9812606473594548,False
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3,4,RF,586,0.09969377339231031,0.9829351535836177,False
M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5,5,RM,579,0.09850289214018373,0.9930915371329879,False
F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3,4,RFM,576,0.09799251446070092,0.9895833333333334,False
F1@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RFM,576,0.09799251446070092,0.9982638888888888,False
R4@0.3 & R4@0.5 & R4@0.7,3,R,571,0.09714188499489622,0.9877408056042032,False
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5,6,RFM,569,0.09680163320857435,0.9964850615114236,False
F1@0.3 & R4@0.3 & R4@0.5 & R4@0.7,4,RF,563,0.09578087784960872,0.9911190053285968,False
F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,5,RFM,562,0.09561075195644778,0.994661921708185,False
F1@0.3 & F1@0.5 & R4@0.3 & R4@0.5 & R4@0.7,5,RF,558,0.09493024838380401,0.9910394265232975,False
F1@0.3 & M5@0.3 & M5@0.5,3,FM,557,0.09476012249064307,0.9910233393177738,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,8,RFM,557,0.09476012249064307,0.9964093357271095,False
F1@0.3 & M2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RFM,548,0.09322898945219463,0.9945255474452555,False
F1@0.3 & F1@0.5 & M2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,547,0.09305886355903369,0.9945155393053017,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5,7,RFM,547,0.09305886355903369,0.9963436928702011,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,546,0.09288873766587274,0.9945054945054945,False
R3@0.3 & R3@0.5 & R3@0.7,3,R,543,0.09237835998638994,0.9871086556169429,False
F1@0.3 & R3@0.3 & R3@0.5 & R3@0.7,4,RF,541,0.09203810820006805,0.9907578558225508,False
F1@0.3 & F1@0.5 & R3@0.3 & R3@0.5 & R3@0.7,5,RF,538,0.09152773052058523,0.9907063197026023,False
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5 & R4@0.7,6,RF,535,0.09101735284110242,0.9906542056074766,False
F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,534,0.09084722694794148,0.9943820224719101,False
F1@0.3 & F2@0.3 & R5@0.3,3,RF,532,0.0905069751616196,0.9887218045112782,False
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5 & R3@0.7,6,RF,531,0.09033684926845865,0.9905838041431262,False
F1@0.3 & F1@0.5 & M5@0.3 & R5@0.3,4,RFM,518,0.08812521265736645,0.9961389961389961,False
F1@0.3 & F2@0.3 & R5@0.3 & R5@0.5,4,RF,517,0.0879550867642055,0.9922630560928434,False
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7,4,FM,515,0.08761483497788364,0.9805825242718447,False
F1@0.3 & M2@0.3 & M2@0.5 & R5@0.3,4,RFM,513,0.08727458319156176,0.9883040935672515,False
M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5 & R5@0.7,6,RM,513,0.08727458319156176,0.9922027290448343,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R5@0.3,6,RFM,512,0.08710445729840081,0.98828125,False
R4@0.3 & R5@0.3,2,R,510,0.08676420551207893,0.9725490196078431,False
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,503,0.08557332425995237,0.9960238568588469,False
F1@0.3 & R4@0.3 & R5@0.3,3,RF,500,0.08506294658046955,0.98,False
F1@0.3 & F1@0.5 & M5@0.3 & R5@0.3 & R5@0.5,5,RFM,493,0.08387206532834297,0.9979716024340771,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,7,RFM,489,0.08319156175569922,0.9938650306748467,False
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3,5,RFM,487,0.08285130996937734,0.9876796714579056,False
R2@0.3 & R2@0.5,2,R,484,0.08234093228989452,0.987603305785124,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5 & R5@0.7,8,RFM,484,0.08234093228989452,0.9958677685950413,False
F1@0.3 & F1@0.5 & R2@0.3 & R2@0.5,4,RF,483,0.08217080639673359,0.989648033126294,False
F1@0.3 & F1@0.5 & R4@0.3 & R5@0.3,4,RF,483,0.08217080639673359,0.979296066252588,False
F1@0.3 & M5@0.3 & M5@0.5 & R5@0.3,4,RFM,483,0.08217080639673359,0.9958592132505176,False
R1@0.3 & R1@0.5,2,R,479,0.08149030282408982,0.9812108559498957,False
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3 & R1@0.5,5,RF,478,0.08132017693092888,0.9832635983263598,False
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & R2@0.5,5,RF,478,0.08132017693092888,0.9895397489539749,False
F1@0.3 & F2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RF,477,0.08115005103776794,0.9916142557651991,False
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5,6,RFM,476,0.08097992514460702,0.9936974789915967,False
F1@0.3 & M2@0.3 & M2@0.5 & R5@0.3 & R5@0.5,5,RFM,471,0.08012929567880231,0.9936305732484076,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R5@0.3 & R5@0.5,7,RFM,470,0.07995916978564137,0.9936170212765958,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M2@0.3,5,FM,462,0.07859816264035387,0.9783549783549783,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R3@0.3,5,RFM,462,0.07859816264035387,0.9805194805194806,False
F1@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,5,RFM,461,0.07842803674719293,0.9978308026030369,False
F1@0.3 & F1@0.5 & M3@0.3 & R4@0.3,4,RFM,457,0.07774753317454916,0.9803063457330415,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R4@0.3,5,RFM,453,0.07706702960190541,0.9801324503311258,False
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,451,0.07672677781558353,0.9933481152993349,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5,8,RFM,451,0.07672677781558353,0.9955654101995566,False
F2@0.3 & F2@0.5,2,F,450,0.07655665192242259,0.9688888888888889,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R4@0.3,5,RFM,447,0.07604627424293978,0.9798657718120806,False
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R5@0.3,5,RF,445,0.0757060224566179,0.9775280898876404,False
F1@0.3 & F1@0.5 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,441,0.07502551888397414,0.9977324263038548,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & M3@0.7 & R5@0.3,6,RFM,438,0.07451514120449132,0.995433789954338,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & M3@0.7 & R5@0.3,7,RFM,436,0.07417488941816945,0.9954128440366973,False
F1@0.3 & F2@0.3 & M5@0.3,3,FM,433,0.07366451173868663,0.9907621247113164,False
F1@0.3 & F1@0.5 & M2@0.3 & M3@0.3,4,FM,432,0.07349438584552569,0.9768518518518519,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M3@0.3,5,FM,431,0.07332425995236475,0.9767981438515081,False
F2@0.3 & F2@0.5 & R5@0.3,3,RF,425,0.07230350459339911,0.9858823529411764,False
F1@0.3 & F1@0.5 & M3@0.3 & M4@0.3,4,FM,421,0.07162300102075536,0.9762470308788599,False
F1@0.3 & F1@0.5 & M5@0.3 & M5@0.5,4,FM,420,0.07145287512759442,0.9880952380952381,False
F2@0.3 & F2@0.5 & R5@0.3 & R5@0.5,4,RF,418,0.07111262334127254,0.9880382775119617,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R3@0.3,5,RFM,416,0.07077237155495067,0.9855769230769231,False
F1@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,415,0.07060224566178973,0.9975903614457832,False
F2@0.3 & F2@0.5 & M5@0.3,3,FM,410,0.06975161619598502,0.9829268292682927,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M4@0.3,5,FM,410,0.06975161619598502,0.975609756097561,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & M3@0.7 & R5@0.3 & R5@0.5,7,RFM,410,0.06975161619598502,0.9975609756097561,False
M4@0.3 & R4@0.3,2,RM,409,0.0695814903028241,0.9731051344743277,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & M3@0.7 & R5@0.3 & R5@0.5,8,RFM,408,0.06941136440966315,0.9975490196078431,False
F1@0.3 & M2@0.3 & M2@0.5 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,407,0.06924123851650221,0.9926289926289926,False
F1@0.3 & M4@0.3 & R4@0.3,3,RFM,406,0.06907111262334127,0.9778325123152709,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R5@0.3 & R5@0.5 & R5@0.7,8,RFM,406,0.06907111262334127,0.9926108374384236,False
F1@0.3 & F1@0.5 & F2@0.3,3,F,404,0.06873086083701939,0.9752475247524752,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3,5,RFM,404,0.06873086083701939,0.9900990099009901,False
M4@0.3 & M5@0.3,2,M,403,0.06856073494385846,0.9851116625310173,False
F2@0.3 & F2@0.5 & R5@0.3 & R5@0.5 & R5@0.7,5,RF,401,0.06822048315753658,0.9875311720698254,False
F1@0.3 & F2@0.3 & M5@0.3 & R5@0.3,4,RFM,398,0.06771010547805376,0.9949748743718593,False
F1@0.3 & M5@0.3 & M5@0.5 & M5@0.7,4,FM,397,0.06753997958489281,0.9874055415617129,False
F1@0.3 & F1@0.5 & M4@0.3 & R4@0.3,4,RFM,396,0.06736985369173189,0.9772727272727273,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5 & R5@0.7,9,RFM,396,0.06736985369173189,0.9949494949494949,False
F2@0.3 & F2@0.5 & M5@0.3 & R5@0.3,4,RFM,393,0.06685947601224906,0.9923664122137404,False
F1@0.3 & F2@0.3 & M5@0.3 & R5@0.3 & R5@0.5,5,RFM,386,0.06566859476012249,0.9974093264248705,False
F2@0.3 & F2@0.5 & M5@0.3 & R5@0.3 & R5@0.5,5,RFM,386,0.06566859476012249,0.9948186528497409,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5,4,FM,384,0.06532834297380061,0.9817708333333334,False
F1@0.3 & M4@0.3 & M5@0.3,3,FM,381,0.0648179652943178,0.9868766404199475,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R1@0.3,5,RFM,379,0.06447771350799592,0.9894459102902374,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & M3@0.7 & R5@0.3 & R5@0.5 & R5@0.7,8,RFM,374,0.06362708404219122,0.9973262032085561,False
