CustomerID,R,F,M,R_paper_score,F_paper_score,M_paper_score,scoring_arm,R_fuzzy_score,F_fuzzy_score,M_fuzzy_score
12373,310,3,1127.65,2.0,3.0,3.0,base-paper quintile,,,
12374,24,4,2989.2200000000003,4.0,3.0,5.0,base-paper quintile,,,
12375,10,2,457.5,5.0,2.0,2.0,base-paper quintile,,,
12376,389,2,503.15,2.0,2.0,2.0,base-paper quintile,,,
12377,314,4,3426.32,2.0,3.0,5.0,base-paper quintile,,,
12378,129,2,5416.32,3.0,2.0,5.0,base-paper quintile,,,
12379,81,4,1620.22,3.0,3.0,4.0,base-paper quintile,,,
12380,21,11,9676.300000000001,4.0,5.0,5.0,base-paper quintile,,,
12381,4,5,1845.31,5.0,4.0,4.0,base-paper quintile,,,
12383,184,5,1850.56,3.0,4.0,4.0,base-paper quintile,,,
12384,28,2,585.27,4.0,2.0,2.0,base-paper quintile,,,
12385,378,1,1938.4,2.0,1.0,4.0,base-paper quintile,,,
12386,337,2,660.8,2.0,2.0,3.0,base-paper quintile,,,
12387,414,1,143.94,1.0,1.0,1.0,base-paper quintile,,,
12388,15,8,3901.11,5.0,4.0,5.0,base-paper quintile,,,
12389,402,3,1433.33,2.0,3.0,4.0,base-paper quintile,,,
12390,79,1,549.84,3.0,1.0,2.0,base-paper quintile,,,
12391,21,6,2773.42,4.0,4.0,4.0,base-paper quintile,,,
12392,590,1,234.75000000000003,1.0,1.0,1.0,base-paper quintile,,,
12393,71,6,2399.4500000000003,3.0,4.0,4.0,base-paper quintile,,,
12394,63,2,1272.48,3.0,2.0,4.0,base-paper quintile,,,
12395,18,15,5067.27,5.0,5.0,5.0,base-paper quintile,,,
12396,673,1,931.43,1.0,1.0,3.0,base-paper quintile,,,
12397,35,2,2409.9,4.0,2.0,4.0,base-paper quintile,,,
12398,45,1,1635.6599999999999,4.0,1.0,4.0,base-paper quintile,,,
12399,118,7,1962.3,3.0,4.0,4.0,base-paper quintile,,,
12400,413,1,205.25,1.0,1.0,1.0,base-paper quintile,,,
12401,302,1,84.3,2.0,1.0,1.0,base-paper quintile,,,
12402,322,6,1256.9,2.0,4.0,4.0,base-paper quintile,,,
12403,49,2,1019.36,4.0,2.0,3.0,base-paper quintile,,,
12404,681,1,63.24,1.0,1.0,1.0,base-paper quintile,,,
12405,148,1,1710.39,3.0,1.0,4.0,base-paper quintile,,,
12406,21,5,6390.36,4.0,4.0,5.0,base-paper quintile,,,
12407,49,5,1708.1200000000001,4.0,4.0,4.0,base-paper quintile,,,
12408,32,8,4340.7699999999995,4.0,4.0,5.0,base-paper quintile,,,
12409,78,7,23419.29,3.0,4.0,5.0,base-paper quintile,,,
12410,308,3,1013.71,2.0,3.0,3.0,base-paper quintile,,,
12411,409,1,346.9,2.0,1.0,2.0,base-paper quintile,,,
12412,74,6,2596.93,3.0,4.0,4.0,base-paper quintile,,,
12413,66,4,999.45,3.0,3.0,3.0,base-paper quintile,,,
12414,216,6,952.41,2.0,4.0,3.0,base-paper quintile,,,
12415,23,28,144458.37,4.0,5.0,5.0,base-paper quintile,,,
12416,656,1,202.56,1.0,1.0,1.0,base-paper quintile,,,
12417,2,20,6816.91,5.0,5.0,5.0,base-paper quintile,,,
12418,112,4,2021.2,3.0,3.0,4.0,base-paper quintile,,,
12419,385,2,503.01,2.0,2.0,2.0,base-paper quintile,,,
12420,63,1,600.39,3.0,1.0,2.0,base-paper quintile,,,
12421,15,6,1098.6,5.0,4.0,3.0,base-paper quintile,,,
12422,95,17,5231.8,3.0,5.0,5.0,base-paper quintile,,,
12423,0,10,2622.39,5.0,5.0,4.0,base-paper quintile,,,
12424,162,4,3340.03,3.0,3.0,5.0,base-paper quintile,,,
12425,77,2,1741.41,3.0,2.0,4.0,base-paper quintile,,,
12426,194,2,1345.21,2.0,2.0,4.0,base-paper quintile,,,
12427,21,3,1129.3,4.0,3.0,3.0,base-paper quintile,,,
12428,25,9,7956.46,4.0,5.0,5.0,base-paper quintile,,,
12429,8,8,7485.91,5.0,4.0,5.0,base-paper quintile,,,
12430,42,1,256.4,4.0,1.0,1.0,base-paper quintile,,,
12431,35,27,10857.97,4.0,5.0,5.0,base-paper quintile,,,
12432,42,5,5059.32,4.0,4.0,5.0,base-paper quintile,,,
12433,0,10,20581.26,5.0,5.0,5.0,base-paper quintile,,,
12434,84,3,1103.43,3.0,3.0,3.0,base-paper quintile,,,
12435,79,6,13925.93,3.0,4.0,5.0,base-paper quintile,,,
12436,99,1,509.01,3.0,1.0,2.0,base-paper quintile,,,
12437,1,39,12683.4,5.0,5.0,5.0,base-paper quintile,,,
12438,13,2,2906.85,5.0,2.0,4.0,base-paper quintile,,,
12439,682,2,1158.18,1.0,2.0,3.0,base-paper quintile,,,
12440,461,2,859.2,1.0,2.0,3.0,base-paper quintile,,,
12441,366,1,347.1,2.0,1.0,2.0,base-paper quintile,,,
12442,2,1,172.06,5.0,1.0,1.0,base-paper quintile,,,
12443,731,1,485.31,1.0,1.0,2.0,base-paper quintile,,,
12444,20,5,5005.46,4.0,4.0,5.0,base-paper quintile,,,
12445,21,2,434.98,4.0,2.0,2.0,base-paper quintile,,,
12446,57,1,1002.3100000000001,4.0,1.0,3.0,base-paper quintile,,,
12447,242,1,476.49,2.0,1.0,2.0,base-paper quintile,,,
12448,43,1,449.45,4.0,1.0,2.0,base-paper quintile,,,
12449,21,6,4835.89,4.0,4.0,5.0,base-paper quintile,,,
12450,155,5,688.2,3.0,4.0,3.0,base-paper quintile,,,
12451,10,8,12669.88,5.0,4.0,5.0,base-paper quintile,,,
12452,16,2,430.57,5.0,2.0,2.0,base-paper quintile,,,
12453,133,1,707.09,3.0,1.0,3.0,base-paper quintile,,,
12454,55,5,16679.78,4.0,4.0,5.0,base-paper quintile,,,
12455,72,10,5879.95,3.0,5.0,5.0,base-paper quintile,,,
12456,43,3,3181.04,4.0,3.0,5.0,base-paper quintile,,,
12457,65,8,2995.91,3.0,4.0,5.0,base-paper quintile,,,
12458,70,4,1777.49,3.0,3.0,4.0,base-paper quintile,,,
12459,604,1,454.36,1.0,1.0,2.0,base-paper quintile,,,
12460,455,1,326.65,1.0,1.0,2.0,base-paper quintile,,,
12461,93,2,826.88,3.0,2.0,3.0,base-paper quintile,,,
12462,18,2,1189.59,5.0,2.0,3.0,base-paper quintile,,,
12463,52,4,1344.78,4.0,3.0,4.0,base-paper quintile,,,
12464,9,8,1212.05,5.0,4.0,3.0,base-paper quintile,,,
12465,16,2,742.1899999999999,5.0,2.0,3.0,base-paper quintile,,,
12466,681,1,56.73,1.0,1.0,1.0,base-paper quintile,,,
12467,422,1,132.8,1.0,1.0,1.0,base-paper quintile,,,
12468,187,5,3670.74,3.0,4.0,5.0,base-paper quintile,,,
12469,522,2,3070.54,1.0,2.0,5.0,base-paper quintile,,,
12470,689,1,211.95,1.0,1.0,1.0,base-paper quintile,,,
12471,1,79,39963.79,5.0,5.0,5.0,base-paper quintile,,,
12472,31,19,17880.59,4.0,5.0,5.0,base-paper quintile,,,
12473,28,5,3938.5499999999997,4.0,4.0,5.0,base-paper quintile,,,
12474,16,31,12424.45,5.0,5.0,5.0,base-paper quintile,,,
12475,53,2,1149.64,4.0,2.0,3.0,base-paper quintile,,,
12476,15,23,14115.41,5.0,5.0,5.0,base-paper quintile,,,
12477,22,9,20276.37,4.0,5.0,5.0,base-paper quintile,,,
12478,3,1,680.99,5.0,1.0,3.0,base-paper quintile,,,
12479,10,1,527.2,5.0,1.0,2.0,base-paper quintile,,,
12480,27,7,5464.85,4.0,4.0,5.0,base-paper quintile,,,
12481,22,15,12361.39,4.0,5.0,5.0,base-paper quintile,,,
12482,575,29,23691.4,1.0,5.0,5.0,base-paper quintile,,,
12483,16,19,5120.58,5.0,5.0,5.0,base-paper quintile,,,
12484,32,12,6370.15,4.0,5.0,5.0,base-paper quintile,,,
12485,528,1,708.1,1.0,1.0,3.0,base-paper quintile,,,
12486,431,1,1037.28,1.0,1.0,3.0,base-paper quintile,,,
12487,730,1,285.29999999999995,1.0,1.0,1.0,base-paper quintile,,,
12488,9,3,1298.66,5.0,3.0,4.0,base-paper quintile,,,
12489,335,1,334.93,2.0,1.0,2.0,base-paper quintile,,,
12490,4,21,9823.64,5.0,5.0,5.0,base-paper quintile,,,
12491,38,1,460.40000000000003,4.0,1.0,2.0,base-paper quintile,,,
12492,62,3,715.21,3.0,3.0,3.0,base-paper quintile,,,
12493,165,2,433.74,3.0,2.0,2.0,base-paper quintile,,,
12494,15,9,1872.8700000000001,5.0,5.0,4.0,base-paper quintile,,,
12495,640,1,357.4,1.0,1.0,2.0,base-paper quintile,,,
12496,619,2,54.09,1.0,2.0,1.0,base-paper quintile,,,
12497,81,3,6248.5,3.0,3.0,5.0,base-paper quintile,,,
12498,20,3,403.70000000000005,4.0,3.0,2.0,base-paper quintile,,,
12499,559,1,393.72,1.0,1.0,2.0,base-paper quintile,,,
12500,22,19,5955.21,4.0,5.0,5.0,base-paper quintile,,,
12501,336,1,2169.39,2.0,1.0,4.0,base-paper quintile,,,
12502,95,5,3723.87,3.0,4.0,5.0,base-paper quintile,,,
12503,583,1,1126.0,1.0,1.0,3.0,base-paper quintile,,,
12504,17,4,779.05,5.0,3.0,3.0,base-paper quintile,,,
12505,408,1,955.2,2.0,1.0,3.0,base-paper quintile,,,
12506,232,1,73.5,2.0,1.0,1.0,base-paper quintile,,,
12507,133,4,1844.06,3.0,3.0,4.0,base-paper quintile,,,
12508,25,2,398.27,4.0,2.0,2.0,base-paper quintile,,,
12509,283,1,176.5,2.0,1.0,1.0,base-paper quintile,,,
12510,142,9,5178.02,3.0,5.0,5.0,base-paper quintile,,,
12511,428,1,3084.02,1.0,1.0,5.0,base-paper quintile,,,
12512,65,2,138.03,3.0,2.0,1.0,base-paper quintile,,,
12513,112,1,612.29,3.0,1.0,2.0,base-paper quintile,,,
12514,266,2,1597.76,2.0,2.0,4.0,base-paper quintile,,,
12515,352,1,383.7,2.0,1.0,2.0,base-paper quintile,,,
12516,77,4,2648.62,3.0,3.0,4.0,base-paper quintile,,,
12517,27,5,2502.84,4.0,4.0,4.0,base-paper quintile,,,
12518,0,5,2056.89,5.0,4.0,4.0,base-paper quintile,,,
12519,63,2,726.54,3.0,2.0,3.0,base-paper quintile,,,
12520,78,5,2634.26,3.0,4.0,4.0,base-paper quintile,,,
12521,142,1,599.68,3.0,1.0,2.0,base-paper quintile,,,
12522,38,2,192.72,4.0,2.0,1.0,base-paper quintile,,,
12523,18,23,4372.15,5.0,5.0,5.0,base-paper quintile,,,
12524,8,17,11126.11,5.0,5.0,5.0,base-paper quintile,,,
12525,497,3,973.73,1.0,3.0,3.0,base-paper quintile,,,
12526,0,3,1316.66,5.0,3.0,4.0,base-paper quintile,,,
12527,81,5,735.51,3.0,4.0,3.0,base-paper quintile,,,
12528,8,6,1933.48,5.0,4.0,4.0,base-paper quintile,,,
12529,527,1,316.48,1.0,1.0,2.0,base-paper quintile,,,
12530,59,9,3759.26,3.0,5.0,5.0,base-paper quintile,,,
12531,14,2,1933.2,5.0,2.0,4.0,base-paper quintile,,,
12532,29,1,349.83000000000004,4.0,1.0,2.0,base-paper quintile,,,
12533,627,2,1367.89,1.0,2.0,4.0,base-paper quintile,,,
12534,130,1,1089.18,3.0,1.0,3.0,base-paper quintile,,,
12535,91,2,716.35,3.0,2.0,3.0,base-paper quintile,,,
12536,42,3,12601.830000000002,4.0,3.0,5.0,base-paper quintile,,,
12537,408,1,732.94,2.0,1.0,3.0,base-paper quintile,,,
12538,28,2,640.45,4.0,2.0,3.0,base-paper quintile,,,
12539,21,7,11214.75,4.0,4.0,5.0,base-paper quintile,,,
12540,19,33,22254.49,4.0,5.0,5.0,base-paper quintile,,,
12541,29,3,981.18,4.0,3.0,3.0,base-paper quintile,,,
12542,483,2,481.88,1.0,2.0,2.0,base-paper quintile,,,
12543,447,1,980.25,1.0,1.0,3.0,base-paper quintile,,,
12544,35,1,372.7,4.0,1.0,2.0,base-paper quintile,,,
12545,74,2,1000.39,3.0,2.0,3.0,base-paper quintile,,,
12546,46,2,1161.5,4.0,2.0,3.0,base-paper quintile,,,
12547,197,3,383.58,2.0,3.0,2.0,base-paper quintile,,,
12548,165,1,95.19999999999999,3.0,1.0,1.0,base-paper quintile,,,
12549,575,6,1575.68,1.0,4.0,4.0,base-paper quintile,,,
12550,78,1,964.83,3.0,1.0,3.0,base-paper quintile,,,
12551,357,1,168.0,2.0,1.0,1.0,base-paper quintile,,,
12552,38,2,437.82,4.0,2.0,2.0,base-paper quintile,,,
12553,7,12,4608.75,5.0,5.0,5.0,base-paper quintile,,,
12554,448,1,468.5,1.0,1.0,2.0,base-paper quintile,,,
12555,681,1,129.23,1.0,1.0,1.0,base-paper quintile,,,
12556,49,2,603.71,4.0,2.0,2.0,base-paper quintile,,,
12557,15,8,18716.14,5.0,4.0,5.0,base-paper quintile,,,
12558,7,1,269.96,5.0,1.0,1.0,base-paper quintile,,,
12559,310,2,561.71,2.0,2.0,2.0,base-paper quintile,,,
12560,4,3,2134.01,5.0,3.0,4.0,base-paper quintile,,,
12561,302,1,238.85,2.0,1.0,1.0,base-paper quintile,,,
12562,7,9,4966.92,5.0,5.0,5.0,base-paper quintile,,,
12563,408,1,249.24,2.0,1.0,1.0,base-paper quintile,,,
12564,260,1,456.9,2.0,1.0,2.0,base-paper quintile,,,
12565,288,1,145.92,2.0,1.0,1.0,base-paper quintile,,,
12566,85,1,351.65,3.0,1.0,2.0,base-paper quintile,,,
12567,22,15,13709.86,4.0,5.0,5.0,base-paper quintile,,,
12568,644,1,70.0,1.0,1.0,1.0,base-paper quintile,,,
12569,1,32,4124.69,5.0,5.0,5.0,base-paper quintile,,,
12570,681,1,77.52,1.0,1.0,1.0,base-paper quintile,,,
12571,39,2,519.61,4.0,2.0,2.0,base-paper quintile,,,
12572,8,2,1020.42,5.0,2.0,3.0,base-paper quintile,,,
12573,226,5,717.41,2.0,4.0,3.0,base-paper quintile,,,
12574,315,1,218.45,2.0,1.0,1.0,base-paper quintile,,,
12575,456,2,622.8199999999999,1.0,2.0,3.0,base-paper quintile,,,
12576,35,8,2142.72,4.0,4.0,4.0,base-paper quintile,,,
12577,34,8,1653.75,4.0,4.0,4.0,base-paper quintile,,,
12578,20,4,4642.45,4.0,3.0,5.0,base-paper quintile,,,
12579,77,1,440.42,3.0,1.0,2.0,base-paper quintile,,,
12580,246,2,1052.9,2.0,2.0,3.0,base-paper quintile,,,
12581,39,1,197.71,4.0,1.0,1.0,base-paper quintile,,,
12582,238,4,1980.4,2.0,3.0,4.0,base-paper quintile,,,
12583,2,27,14447.44,5.0,5.0,5.0,base-paper quintile,,,
12584,3,9,2338.15,5.0,5.0,4.0,base-paper quintile,,,
12585,233,2,2040.1,2.0,2.0,4.0,base-paper quintile,,,
12586,16,4,2062.67,5.0,3.0,4.0,base-paper quintile,,,
12587,7,1,144.0,5.0,1.0,1.0,base-paper quintile,,,
12588,38,4,958.78,4.0,3.0,3.0,base-paper quintile,,,
12589,28,8,4695.66,4.0,4.0,5.0,base-paper quintile,,,
12590,210,2,9864.26,2.0,2.0,5.0,base-paper quintile,,,
12591,316,3,1352.15,2.0,3.0,4.0,base-paper quintile,,,
12592,91,5,2582.66,3.0,4.0,4.0,base-paper quintile,,,
12593,108,3,418.09999999999997,3.0,3.0,2.0,base-paper quintile,,,
12594,37,15,5090.110000000001,4.0,5.0,5.0,base-paper quintile,,,
12595,504,1,299.02,1.0,1.0,2.0,base-paper quintile,,,
12596,50,2,618.27,4.0,2.0,2.0,base-paper quintile,,,
12597,18,4,3811.22,5.0,3.0,5.0,base-paper quintile,,,
12598,9,11,4534.09,5.0,5.0,5.0,base-paper quintile,,,
12599,28,13,2296.72,4.0,5.0,4.0,base-paper quintile,,,
12600,28,21,5043.92,4.0,5.0,5.0,base-paper quintile,,,
12601,189,6,681.26,2.0,4.0,3.0,base-paper quintile,,,
12602,58,1,153.12,4.0,1.0,1.0,base-paper quintile,,,
12603,21,1,739.1999999999999,4.0,1.0,3.0,base-paper quintile,,,
12604,78,2,254.18,3.0,2.0,1.0,base-paper quintile,,,
12605,375,4,1232.95,2.0,3.0,3.0,base-paper quintile,,,
12606,681,1,21.0,1.0,1.0,1.0,base-paper quintile,,,
12607,59,1,1579.51,3.0,1.0,4.0,base-paper quintile,,,
12608,404,1,415.79,2.0,1.0,2.0,base-paper quintile,,,
12609,77,9,3435.86,3.0,5.0,5.0,base-paper quintile,,,
12610,22,5,2099.54,4.0,4.0,4.0,base-paper quintile,,,
12611,51,1,1193.32,4.0,1.0,3.0,base-paper quintile,,,
12612,73,1,704.0400000000001,3.0,1.0,3.0,base-paper quintile,,,
12613,56,10,6835.07,4.0,5.0,5.0,base-paper quintile,,,
12614,277,1,315.6,2.0,1.0,2.0,base-paper quintile,,,
12615,1,8,5740.98,5.0,4.0,5.0,base-paper quintile,,,
12616,94,3,1131.1,3.0,3.0,3.0,base-paper quintile,,,
12617,28,1,355.53,4.0,1.0,2.0,base-paper quintile,,,
12618,21,1,177.31,4.0,1.0,1.0,base-paper quintile,,,
12619,15,10,3781.38,5.0,5.0,5.0,base-paper quintile,,,
12620,14,3,1339.41,5.0,3.0,4.0,base-paper quintile,,,
12621,1,35,24775.81,5.0,5.0,5.0,base-paper quintile,,,
12622,231,1,180.1,2.0,1.0,1.0,base-paper quintile,,,
12623,275,7,3747.84,2.0,4.0,5.0,base-paper quintile,,,
12624,105,2,641.13,3.0,2.0,3.0,base-paper quintile,,,
12625,211,4,5164.88,2.0,3.0,5.0,base-paper quintile,,,
12626,22,9,6620.48,4.0,5.0,5.0,base-paper quintile,,,
12627,10,7,4478.53,5.0,4.0,5.0,base-paper quintile,,,
12628,3,3,786.46,5.0,3.0,3.0,base-paper quintile,,,
12629,385,2,1558.22,2.0,2.0,4.0,base-paper quintile,,,
12630,9,2,1270.88,5.0,2.0,4.0,base-paper quintile,,,
12631,56,6,3481.57,4.0,4.0,5.0,base-paper quintile,,,
12632,520,2,804.88,1.0,2.0,3.0,base-paper quintile,,,
12633,58,7,5678.16,4.0,4.0,5.0,base-paper quintile,,,
12634,535,2,490.0,1.0,2.0,2.0,base-paper quintile,,,
12635,89,4,2930.41,3.0,3.0,4.0,base-paper quintile,,,
12636,738,1,141.0,1.0,1.0,1.0,base-paper quintile,,,
12637,66,12,8340.31,3.0,5.0,5.0,base-paper quintile,,,
12638,32,2,921.49,4.0,2.0,3.0,base-paper quintile,,,
12639,238,3,1312.37,2.0,3.0,4.0,base-paper quintile,,,
12640,23,3,1174.58,4.0,3.0,3.0,base-paper quintile,,,
12641,114,1,185.9,3.0,1.0,1.0,base-paper quintile,,,
12642,24,3,1013.26,4.0,3.0,3.0,base-paper quintile,,,
12643,127,12,8350.42,3.0,5.0,5.0,base-paper quintile,,,
12644,129,4,1918.49,3.0,3.0,4.0,base-paper quintile,,,
12645,33,8,3539.3,4.0,4.0,5.0,base-paper quintile,,,
12646,4,2,1346.97,5.0,2.0,4.0,base-paper quintile,,,
12647,21,36,17924.35,4.0,5.0,5.0,base-paper quintile,,,
12648,154,4,1112.0,3.0,3.0,3.0,base-paper quintile,,,
12649,106,8,2294.65,3.0,4.0,4.0,base-paper quintile,,,
12650,2,1,314.44,5.0,1.0,2.0,base-paper quintile,,,
12651,334,4,377.75,2.0,3.0,2.0,base-paper quintile,,,
12652,330,2,1017.03,2.0,2.0,3.0,base-paper quintile,,,
12653,148,3,4160.83,3.0,3.0,5.0,base-paper quintile,,,
12654,10,5,601.98,5.0,4.0,2.0,base-paper quintile,,,
12655,423,1,261.35,1.0,1.0,1.0,base-paper quintile,,,
12656,16,8,6407.83,5.0,4.0,5.0,base-paper quintile,,,
12657,10,4,1643.18,5.0,3.0,4.0,base-paper quintile,,,
12658,18,1,686.05,5.0,1.0,3.0,base-paper quintile,,,
12659,29,1,91.68,4.0,1.0,1.0,base-paper quintile,,,
12660,10,1,245.1,5.0,1.0,1.0,base-paper quintile,,,
12661,435,1,162.0,1.0,1.0,1.0,base-paper quintile,,,
12662,0,20,6988.02,5.0,5.0,5.0,base-paper quintile,,,
12663,624,2,239.4,1.0,2.0,1.0,base-paper quintile,,,
12664,7,11,6070.04,5.0,5.0,5.0,base-paper quintile,,,
12665,324,3,313.6,2.0,3.0,2.0,base-paper quintile,,,
12666,393,1,1248.42,2.0,1.0,3.0,base-paper quintile,,,
12667,57,1,620.13,4.0,1.0,3.0,base-paper quintile,,,
12668,11,10,11444.68,5.0,5.0,5.0,base-paper quintile,,,
12669,150,3,2744.0299999999997,3.0,3.0,4.0,base-paper quintile,,,
12670,9,7,3760.29,5.0,4.0,5.0,base-paper quintile,,,
12671,605,1,2622.481,1.0,1.0,4.0,base-paper quintile,,,
12672,329,2,437.05,2.0,2.0,2.0,base-paper quintile,,,
12673,4,3,1230.02,5.0,3.0,3.0,base-paper quintile,,,
12674,38,4,1970.6,4.0,3.0,4.0,base-paper quintile,,,
12675,553,2,958.5,1.0,2.0,3.0,base-paper quintile,,,
12676,24,11,2843.09,4.0,5.0,4.0,base-paper quintile,,,
12677,554,2,395.1,1.0,2.0,2.0,base-paper quintile,,,
12678,41,21,34281.18,4.0,5.0,5.0,base-paper quintile,,,
12679,58,4,1113.02,4.0,3.0,3.0,base-paper quintile,,,
12680,0,4,880.81,5.0,3.0,3.0,base-paper quintile,,,
12681,14,45,30868.28,5.0,5.0,5.0,base-paper quintile,,,
12682,3,52,24033.91,5.0,5.0,5.0,base-paper quintile,,,
12683,3,21,12696.78,5.0,5.0,5.0,base-paper quintile,,,
12684,7,7,2283.63,5.0,4.0,4.0,base-paper quintile,,,
12685,27,6,2863.08,4.0,4.0,4.0,base-paper quintile,,,
12686,371,1,178.28,2.0,1.0,1.0,base-paper quintile,,,
12687,480,2,2138.91,1.0,2.0,4.0,base-paper quintile,,,
12688,113,1,4873.8099999999995,3.0,1.0,5.0,base-paper quintile,,,
12689,25,2,1247.61,4.0,2.0,3.0,base-paper quintile,,,
12690,205,1,389.01,2.0,1.0,2.0,base-paper quintile,,,
12691,27,7,1170.4,4.0,4.0,3.0,base-paper quintile,,,
12692,636,1,110.95,1.0,1.0,1.0,base-paper quintile,,,
12693,126,7,1703.02,3.0,4.0,4.0,base-paper quintile,,,
12694,69,3,1843.35,3.0,3.0,4.0,base-paper quintile,,,
12695,6,7,1407.1200000000001,5.0,4.0,4.0,base-paper quintile,,,
12696,434,2,851.91,1.0,2.0,3.0,base-paper quintile,,,
12697,28,3,957.59,4.0,3.0,3.0,base-paper quintile,,,
12698,589,1,339.75,1.0,1.0,2.0,base-paper quintile,,,
12699,417,1,638.11,1.0,1.0,3.0,base-paper quintile,,,
12700,7,4,4939.99,5.0,3.0,5.0,base-paper quintile,,,
12701,79,6,2446.41,3.0,4.0,4.0,base-paper quintile,,,
12702,19,1,219.0,4.0,1.0,1.0,base-paper quintile,,,
12703,70,4,1006.53,3.0,3.0,3.0,base-paper quintile,,,
12704,6,8,2340.84,5.0,4.0,4.0,base-paper quintile,,,
12705,14,14,11762.1,5.0,5.0,5.0,base-paper quintile,,,
12707,291,1,603.42,2.0,1.0,2.0,base-paper quintile,,,
12708,29,18,5314.1,4.0,5.0,5.0,base-paper quintile,,,
12709,14,34,31093.34,5.0,5.0,5.0,base-paper quintile,,,
12710,96,3,1149.02,3.0,3.0,3.0,base-paper quintile,,,
12711,611,2,1339.05,1.0,2.0,4.0,base-paper quintile,,,
12712,28,21,7193.66,4.0,5.0,5.0,base-paper quintile,,,
12713,0,1,848.55,5.0,1.0,3.0,base-paper quintile,,,
12714,8,12,14093.71,5.0,5.0,5.0,base-paper quintile,,,
12715,105,1,353.86,3.0,1.0,2.0,base-paper quintile,,,
12716,3,2,1053.49,5.0,2.0,3.0,base-paper quintile,,,
12717,150,3,1308.91,3.0,3.0,4.0,base-paper quintile,,,
12718,70,1,238.25,3.0,1.0,1.0,base-paper quintile,,,
12719,4,2,644.95,5.0,2.0,3.0,base-paper quintile,,,
12720,2,30,8260.67,5.0,5.0,5.0,base-paper quintile,,,
12721,31,8,4013.08,4.0,4.0,5.0,base-paper quintile,,,
12722,84,4,997.63,3.0,3.0,3.0,base-paper quintile,,,
12723,3,5,725.07,5.0,4.0,3.0,base-paper quintile,,,
12724,4,7,2317.52,5.0,4.0,4.0,base-paper quintile,,,
12725,370,4,2694.56,2.0,3.0,4.0,base-paper quintile,,,
12726,27,11,4014.6,4.0,5.0,5.0,base-paper quintile,,,
12727,10,10,5679.53,5.0,5.0,5.0,base-paper quintile,,,
12728,70,5,1070.17,3.0,4.0,3.0,base-paper quintile,,,
12729,113,1,453.01,3.0,1.0,2.0,base-paper quintile,,,
12730,521,1,829.25,1.0,1.0,3.0,base-paper quintile,,,
12731,23,17,25775.71,4.0,5.0,5.0,base-paper quintile,,,
12732,179,1,236.26000000000002,3.0,1.0,1.0,base-paper quintile,,,
12733,233,4,2424.87,2.0,3.0,4.0,base-paper quintile,,,
12734,352,3,639.65,2.0,3.0,3.0,base-paper quintile,,,
12735,314,2,779.5699999999999,2.0,2.0,3.0,base-paper quintile,,,
12736,332,1,234.0,2.0,1.0,1.0,base-paper quintile,,,
12737,498,2,3710.5,1.0,2.0,5.0,base-paper quintile,,,
12738,371,1,310.7,2.0,1.0,2.0,base-paper quintile,,,
12739,77,4,2726.73,3.0,3.0,4.0,base-paper quintile,,,
12740,63,1,427.6,3.0,1.0,2.0,base-paper quintile,,,
12741,528,2,406.07,1.0,2.0,2.0,base-paper quintile,,,
12742,625,1,1201.52,1.0,1.0,3.0,base-paper quintile,,,
12743,133,2,546.43,3.0,2.0,2.0,base-paper quintile,,,
12744,51,11,25317.06,4.0,5.0,5.0,base-paper quintile,,,
