intent,intent_size,dimensions,n_customers,support,stability_proxy,is_kneedle_pruned,base_profile
F1@0.3 & M2@0.3,2,FM,1668,0.2837699897924464,0.9910071942446044,True,"('F1', 'M2')"
F1@0.3 & F1@0.5 & M2@0.3,3,FM,1667,0.2835998638992855,0.991001799640072,True,"('F1', 'M2')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3,4,FM,1666,0.28342973800612453,0.9909963985594238,True,"('F1', 'M2')"
M4@0.3,1,M,1655,0.2815583531813542,0.9879154078549849,True,"('M4',)"
F1@0.3 & F1@0.5 & M3@0.3,3,FM,1654,0.28138822728819324,0.9909310761789601,True,"('F1', 'M3')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3,4,FM,1637,0.2784960871044573,0.9908368967623702,True,"('F1', 'M3')"
F1@0.3 & M4@0.3,2,FM,1620,0.2756039469207213,0.9907407407407407,True,"('F1', 'M4')"
F1@0.3 & F1@0.5 & M4@0.3,3,FM,1553,0.2642055120789384,0.9903412749517064,True,"('F1', 'M4')"
F1@0.3 & M1@0.3,2,FM,1468,0.2497448111602586,0.9931880108991825,True,"('F1', 'M1')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3,4,FM,1467,0.24957468526709764,0.9931833674164963,True,"('F1', 'M1')"
R4@0.3,1,R,1396,0.23749574685267097,0.9849570200573066,False,"('R4',)"
F1@0.3 & R4@0.3,2,FR,1375,0.23392310309629125,0.9890909090909091,True,"('F1', 'R4')"
F1@0.3 & F1@0.5 & R4@0.3,3,FR,1350,0.22966995576726779,0.9888888888888889,True,"('F1', 'R4')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3,4,FM,1297,0.220653283429738,0.9884348496530455,True,"('F1', 'M4')"
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3,4,FR,1282,0.21810139503232392,0.9882995319812793,True,"('F1', 'R4')"
F1@0.3 & M2@0.3 & M2@0.5,3,FM,1280,0.21776114324600204,0.9890625,False,"('F1', 'M2')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5,5,FM,1279,0.21759101735284112,0.9890539483971853,False,"('F1', 'M2')"
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5,4,FM,1241,0.2111262334127254,0.991941982272361,False,"('F1', 'M3')"
M4@0.3 & M4@0.5,2,M,1236,0.21027560394692071,0.988673139158576,False,"('M4',)"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5,5,FM,1232,0.20959510037427698,0.9918831168831169,False,"('F1', 'M3')"
M4@0.3 & R5@0.3,2,MR,1231,0.20942497448111602,0.9926888708367181,False,"('M4', 'R5')"
F1@0.3 & M4@0.3 & M4@0.5,3,FM,1216,0.20687308608370195,0.9925986842105263,False,"('F1', 'M4')"
F1@0.3 & M4@0.3 & R5@0.3,3,FMR,1199,0.203980945899966,0.9949958298582152,False,"('F1', 'M4', 'R5')"
F1@0.3 & M1@0.3 & M1@0.5,3,FM,1198,0.20381082000680503,0.9958263772954925,False,"('F1', 'M1')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5,5,FM,1197,0.2036406941136441,0.9958228905597326,False,"('F1', 'M1')"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5,4,FM,1171,0.1992174208914597,0.9923142613151152,False,"('F1', 'M4')"
R3@0.3,1,R,1160,0.19734603606668935,0.9836206896551725,False,"('R3',)"
M4@0.3 & R5@0.3 & R5@0.5,3,MR,1155,0.19649540660088466,0.9948051948051948,False,"('M4', 'R5')"
F1@0.3 & R3@0.3,2,FR,1153,0.19615515481456278,0.986990459670425,False,"('F1', 'R3')"
M5@0.3,1,M,1151,0.1958149030282409,0.9860990443092963,False,"('M5',)"
F1@0.3 & F1@0.5 & R3@0.3,3,FR,1146,0.1949642735624362,0.9869109947643979,False,"('F1', 'R3')"
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3,4,FMR,1138,0.1936032664171487,0.9947275922671354,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3,4,FR,1130,0.19224225927186117,0.9867256637168141,False,"('F1', 'R3')"
F1@0.3 & M4@0.3 & R5@0.3 & R5@0.5,4,FMR,1124,0.19122150391289555,0.9973309608540926,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3 & R5@0.5,5,FMR,1064,0.1810139503232392,0.9971804511278195,False,"('F1', 'M4', 'R5')"
M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,MR,1033,0.17574004763525009,0.9941916747337851,False,"('M4', 'R5')"
M5@0.3 & R5@0.3,2,MR,1026,0.1745491663831235,0.9922027290448343,False,"('M5', 'R5')"
F1@0.3 & M1@0.3 & M1@0.5 & M1@0.7,4,FM,1006,0.17114664851990474,0.9950298210735586,False,"('F1', 'M1')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7,6,FM,1005,0.1709765226267438,0.9950248756218906,False,"('F1', 'M1')"
F1@0.3 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,FMR,1002,0.17046614494726098,0.9970059880239521,False,"('F1', 'M4', 'R5')"
M5@0.3 & R5@0.3 & R5@0.5,3,MR,992,0.1687648860156516,0.9949596774193549,False,"('M5', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5,5,FM,981,0.16689350119088125,0.9908256880733946,False,"('F1', 'M4')"
R4@0.3 & R4@0.5,2,R,962,0.16366110922082341,0.9792099792099792,False,"('R4',)"
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,FMR,946,0.16093909493024838,0.9968287526427061,False,"('F1', 'M4', 'R5')"
F1@0.3 & R4@0.3 & R4@0.5,3,FR,945,0.16076896903708746,0.9841269841269842,False,"('F1', 'R4')"
F1@0.3 & F1@0.5 & R4@0.3 & R4@0.5,4,FR,936,0.159237835998639,0.983974358974359,False,"('F1', 'R4')"
F1@0.3 & F1@0.5 & M3@0.3 & R5@0.3,4,FMR,926,0.15753657706702962,0.9935205183585313,False,"('F1', 'M3', 'R5')"
M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,MR,925,0.15736645117386866,0.9945945945945946,False,"('M5', 'R5')"
M4@0.3 & M4@0.5 & R5@0.3,3,MR,924,0.15719632528070773,0.9924242424242424,False,"('M4', 'R5')"
M5@0.3 & M5@0.5,2,M,923,0.15702619938754678,0.9826652221018418,False,"('M5',)"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R5@0.3,5,FMR,914,0.15549506634909832,0.9934354485776805,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & R5@0.3,5,FMR,910,0.15481456277645458,0.9934065934065934,False,"('F1', 'M4', 'R5')"
F1@0.3 & M4@0.3 & M4@0.5 & R5@0.3,4,FMR,907,0.15430418509697175,0.9955898566703418,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5,5,FR,898,0.15277305205852332,0.9832962138084632,False,"('F1', 'R4')"
F2@0.3,1,F,880,0.1497107859816264,0.9772727272727273,False,"('F2',)"
R3@0.3 & R3@0.5,2,R,880,0.1497107859816264,0.9863636363636363,False,"('R3',)"
F1@0.3 & R3@0.3 & R3@0.5,3,FR,875,0.1488601565158217,0.9897142857142858,False,"('F1', 'R3')"
F1@0.3 & F1@0.5 & R3@0.3 & R3@0.5,4,FR,869,0.14783940115685607,0.9896432681242808,False,"('F1', 'R3')"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & R5@0.3,5,FMR,866,0.14732902347737326,0.9953810623556582,False,"('F1', 'M4', 'R5')"
M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,4,MR,863,0.14681864579789045,0.9942062572421785,False,"('M4', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & R5@0.3 & R5@0.5,5,FMR,859,0.14613814222524668,0.9965075669383003,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5,5,FR,856,0.14562776454576387,0.9894859813084113,False,"('F1', 'R3')"
F1@0.3 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,5,FMR,847,0.14409663150731541,0.9976387249114522,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R5@0.3 & R5@0.5,6,FMR,847,0.14409663150731541,0.9964580873671782,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & R5@0.3 & R5@0.5,6,FMR,843,0.14341612793467165,0.99644128113879,False,"('F1', 'M4', 'R5')"
M5@0.3 & M5@0.5 & R5@0.3,3,MR,835,0.14205512078938415,0.9904191616766467,False,"('M5', 'R5')"
M4@0.3 & M4@0.5 & M4@0.7,3,M,831,0.14137461721674038,0.9843561973525873,False,"('M4',)"
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7,4,FM,818,0.1391629806056482,0.988997555012225,False,"('F1', 'M4')"
F2@0.3 & R5@0.3,2,FR,811,0.13797209935352162,0.9864364981504316,False,"('F2', 'R5')"
M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,4,MR,808,0.13746172167403878,0.9938118811881188,False,"('M5', 'R5')"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,6,FMR,807,0.13729159578087785,0.9975216852540273,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & M3@0.7,5,FM,801,0.1362708404219122,0.9937578027465668,False,"('F1', 'M3')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & M3@0.7,6,FM,796,0.1354202109561075,0.9937185929648241,False,"('F1', 'M3')"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7,5,FM,792,0.13473970738346377,0.98989898989899,False,"('F1', 'M4')"
F2@0.3 & R5@0.3 & R5@0.5,3,FR,791,0.13456958149030282,0.9911504424778761,False,"('F2', 'R5')"
R2@0.3,1,R,780,0.13269819666553248,0.9756410256410256,False,"('R2',)"
F1@0.3 & M5@0.3,2,FM,778,0.13235794487921063,0.993573264781491,False,"('F1', 'M5')"
F1@0.3 & R2@0.3,2,FR,776,0.13201769309288874,0.9806701030927835,False,"('F1', 'R2')"
F1@0.3 & F1@0.5 & R2@0.3,3,FR,775,0.1318475671997278,0.9806451612903225,False,"('F1', 'R2')"
F1@0.3 & M2@0.3 & M2@0.5 & M2@0.7,4,FM,774,0.13167744130656686,0.9935400516795866,False,"('F1', 'M2')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M2@0.7,6,FM,773,0.13150731541340593,0.9935316946959897,False,"('F1', 'M2')"
F1@0.3 & F1@0.5 & M3@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,FMR,769,0.13082681184076217,0.9960988296488946,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3,4,FR,768,0.13065668594760121,0.98046875,False,"('F1', 'R2')"
M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,5,MR,765,0.1301463082681184,0.9934640522875817,False,"('M4', 'R5')"
M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,5,MR,758,0.12895542701599183,0.9934036939313984,False,"('M5', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,757,0.1287853011228309,0.9960369881109643,False,"('F1', 'M3', 'R5')"
F1@0.3 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,6,FMR,749,0.12742429397754337,0.9973297730307076,False,"('F1', 'M4', 'R5')"
M5@0.3 & M5@0.5 & M5@0.7,3,M,748,0.12725416808438245,0.9786096256684492,False,"('M5',)"
F2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,FR,747,0.1270840421912215,0.9906291834002677,False,"('F2', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,740,0.12589316093909492,0.995945945945946,False,"('F1', 'M4', 'R5')"
F2@0.3 & M5@0.3,2,FM,713,0.12129976182374957,0.9859747545582047,False,"('F2', 'M5')"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,712,0.12112963593058863,0.9971910112359551,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R5@0.3,5,FMR,701,0.11925825110581831,0.9942938659058488,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R5@0.3,6,FMR,696,0.11840762164001362,0.9942528735632183,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & R5@0.3,6,FMR,694,0.11806736985369173,0.9956772334293948,False,"('F1', 'M4', 'R5')"
F1@0.3 & M2@0.3 & R5@0.3,3,FMR,683,0.11619598502892141,0.9912152269399708,False,"('F1', 'M2', 'R5')"
F1@0.3 & F1@0.5 & M2@0.3 & R5@0.3,4,FMR,682,0.11602585913576047,0.9912023460410557,False,"('F1', 'M2', 'R5')"
M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3,4,MR,682,0.11602585913576047,0.9882697947214076,False,"('M5', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & M4@0.7,6,FM,682,0.11602585913576047,0.9882697947214076,False,"('F1', 'M4')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3,5,FMR,681,0.11585573324259953,0.9911894273127754,False,"('F1', 'M2', 'R5')"
F2@0.3 & M5@0.3 & R5@0.3,3,FMR,668,0.11364409663150732,0.9910179640718563,False,"('F2', 'M5', 'R5')"
F1@0.3 & M5@0.3 & R5@0.3,3,FMR,667,0.11347397073834638,0.9970014992503748,False,"('F1', 'M5', 'R5')"
M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5,5,MR,662,0.11262334127254169,0.9924471299093656,False,"('M5', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5,6,FMR,657,0.11177271180673698,0.9969558599695586,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5,7,FMR,652,0.11092208234093229,0.9969325153374233,False,"('F1', 'M3', 'R5')"
F2@0.3 & M5@0.3 & R5@0.3 & R5@0.5,4,FMR,651,0.11075195644777135,0.9953917050691244,False,"('F2', 'M5', 'R5')"
F1@0.3 & M5@0.3 & R5@0.3 & R5@0.5,4,FMR,639,0.10871044572984008,0.9984350547730829,False,"('F1', 'M5', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5,7,FMR,639,0.10871044572984008,0.9968701095461658,False,"('F1', 'M4', 'R5')"
F1@0.3 & M2@0.3 & R5@0.3 & R5@0.5,4,FMR,629,0.1070091867982307,0.9952305246422893,False,"('F1', 'M2', 'R5')"
F1@0.3 & F1@0.5 & M2@0.3 & R5@0.3 & R5@0.5,5,FMR,628,0.10683906090506975,0.9952229299363057,False,"('F1', 'M2', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3 & R5@0.5,6,FMR,627,0.10666893501190881,0.9952153110047847,False,"('F1', 'M2', 'R5')"
M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5 & R5@0.7,6,MR,623,0.10598843143926506,0.9919743178170144,False,"('M5', 'R5')"
F1@0.3 & F1@0.5 & M5@0.3,3,FM,622,0.10581830554610412,0.9919614147909968,False,"('F1', 'M5')"
M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,4,MR,620,0.10547805375978224,0.9919354838709677,False,"('M4', 'R5')"
F2@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,FMR,618,0.10513780197346036,0.9951456310679612,False,"('F2', 'M5', 'R5')"
F2@0.3 & M5@0.3 & M5@0.5,3,FM,615,0.10462742429397755,0.983739837398374,False,"('F2', 'M5')"
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,5,FMR,610,0.10377679482817284,0.9950819672131147,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,598,0.10173528411024158,0.9966555183946488,False,"('F1', 'M3', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R5@0.3 & R5@0.5 & R5@0.7,8,FMR,593,0.10088465464443688,0.9966273187183811,False,"('F1', 'M3', 'R5')"
F1@0.3 & F2@0.3,2,F,588,0.10003402517863219,0.9795918367346939,False,"('F1', 'F2')"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,6,FMR,588,0.10003402517863219,0.9948979591836735,False,"('F1', 'M4', 'R5')"
R1@0.3,1,R,587,0.09986389928547125,0.9812606473594548,False,"('R1',)"
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3,4,FR,586,0.09969377339231031,0.9829351535836177,False,"('F1', 'R1')"
M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5,5,MR,579,0.09850289214018373,0.9930915371329879,False,"('M4', 'R5')"
F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3,4,FMR,576,0.09799251446070092,0.9895833333333334,False,"('F2', 'M5', 'R5')"
F1@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,FMR,576,0.09799251446070092,0.9982638888888888,False,"('F1', 'M5', 'R5')"
R4@0.3 & R4@0.5 & R4@0.7,3,R,571,0.09714188499489622,0.9877408056042032,False,"('R4',)"
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5,6,FMR,569,0.09680163320857435,0.9964850615114236,False,"('F1', 'M4', 'R5')"
F1@0.3 & R4@0.3 & R4@0.5 & R4@0.7,4,FR,563,0.09578087784960872,0.9911190053285968,False,"('F1', 'R4')"
F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,5,FMR,562,0.09561075195644778,0.994661921708185,False,"('F2', 'M5', 'R5')"
F1@0.3 & F1@0.5 & R4@0.3 & R4@0.5 & R4@0.7,5,FR,558,0.09493024838380401,0.9910394265232975,False,"('F1', 'R4')"
F1@0.3 & M5@0.3 & M5@0.5,3,FM,557,0.09476012249064307,0.9910233393177738,False,"('F1', 'M5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & R5@0.3 & R5@0.5 & R5@0.7,8,FMR,557,0.09476012249064307,0.9964093357271095,False,"('F1', 'M4', 'R5')"
F1@0.3 & M2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,FMR,548,0.09322898945219463,0.9945255474452555,False,"('F1', 'M2', 'R5')"
F1@0.3 & F1@0.5 & M2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,FMR,547,0.09305886355903369,0.9945155393053017,False,"('F1', 'M2', 'R5')"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5,7,FMR,547,0.09305886355903369,0.9963436928702011,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,546,0.09288873766587274,0.9945054945054945,False,"('F1', 'M2', 'R5')"
R3@0.3 & R3@0.5 & R3@0.7,3,R,543,0.09237835998638994,0.9871086556169429,False,"('R3',)"
F1@0.3 & R3@0.3 & R3@0.5 & R3@0.7,4,FR,541,0.09203810820006805,0.9907578558225508,False,"('F1', 'R3')"
F1@0.3 & F1@0.5 & R3@0.3 & R3@0.5 & R3@0.7,5,FR,538,0.09152773052058523,0.9907063197026023,False,"('F1', 'R3')"
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5 & R4@0.7,6,FR,535,0.09101735284110242,0.9906542056074766,False,"('F1', 'R4')"
F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,6,FMR,534,0.09084722694794148,0.9943820224719101,False,"('F2', 'M5', 'R5')"
F1@0.3 & F2@0.3 & R5@0.3,3,FR,532,0.0905069751616196,0.9887218045112782,False,"('F1', 'F2', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5 & R3@0.7,6,FR,531,0.09033684926845865,0.9905838041431262,False,"('F1', 'R3')"
F1@0.3 & F1@0.5 & M5@0.3 & R5@0.3,4,FMR,518,0.08812521265736645,0.9961389961389961,False,"('F1', 'M5', 'R5')"
F1@0.3 & F2@0.3 & R5@0.3 & R5@0.5,4,FR,517,0.0879550867642055,0.9922630560928434,False,"('F1', 'F2', 'R5')"
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7,4,FM,515,0.08761483497788364,0.9805825242718447,False,"('F2', 'M5')"
F1@0.3 & M2@0.3 & M2@0.5 & R5@0.3,4,FMR,513,0.08727458319156176,0.9883040935672515,False,"('F1', 'M2', 'R5')"
M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5 & R5@0.7,6,MR,513,0.08727458319156176,0.9922027290448343,False,"('M4', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R5@0.3,6,FMR,512,0.08710445729840081,0.98828125,False,"('F1', 'M2', 'R5')"
R4@0.3 & R5@0.3,2,R,510,0.08676420551207893,0.9725490196078431,False,"('R4', 'R5')"
F1@0.3 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,503,0.08557332425995237,0.9960238568588469,False,"('F1', 'M4', 'R5')"
F1@0.3 & R4@0.3 & R5@0.3,3,FR,500,0.08506294658046955,0.98,False,"('F1', 'R4', 'R5')"
F1@0.3 & F1@0.5 & M5@0.3 & R5@0.3 & R5@0.5,5,FMR,493,0.08387206532834297,0.9979716024340771,False,"('F1', 'M5', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3,7,FMR,489,0.08319156175569922,0.9938650306748467,False,"('F1', 'M4', 'R5')"
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3,5,FMR,487,0.08285130996937734,0.9876796714579056,False,"('F2', 'M5', 'R5')"
R2@0.3 & R2@0.5,2,R,484,0.08234093228989452,0.987603305785124,False,"('R2',)"
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & M4@0.7 & R5@0.3 & R5@0.5 & R5@0.7,8,FMR,484,0.08234093228989452,0.9958677685950413,False,"('F1', 'M4', 'R5')"
F1@0.3 & F1@0.5 & R2@0.3 & R2@0.5,4,FR,483,0.08217080639673359,0.989648033126294,False,"('F1', 'R2')"
F1@0.3 & F1@0.5 & R4@0.3 & R5@0.3,4,FR,483,0.08217080639673359,0.979296066252588,False,"('F1', 'R4', 'R5')"
F1@0.3 & M5@0.3 & M5@0.5 & R5@0.3,4,FMR,483,0.08217080639673359,0.9958592132505176,False,"('F1', 'M5', 'R5')"
R1@0.3 & R1@0.5,2,R,479,0.08149030282408982,0.9812108559498957,False,"('R1',)"
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3 & R1@0.5,5,FR,478,0.08132017693092888,0.9832635983263598,False,"('F1', 'R1')"
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & R2@0.5,5,FR,478,0.08132017693092888,0.9895397489539749,False,"('F1', 'R2')"
F1@0.3 & F2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,FR,477,0.08115005103776794,0.9916142557651991,False,"('F1', 'F2', 'R5')"
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5,6,FMR,476,0.08097992514460702,0.9936974789915967,False,"('F2', 'M5', 'R5')"
F1@0.3 & M2@0.3 & M2@0.5 & R5@0.3 & R5@0.5,5,FMR,471,0.08012929567880231,0.9936305732484076,False,"('F1', 'M2', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R5@0.3 & R5@0.5,7,FMR,470,0.07995916978564137,0.9936170212765958,False,"('F1', 'M2', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M2@0.3,5,FM,462,0.07859816264035387,0.9783549783549783,False,"('F1', 'M1', 'M2')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R3@0.3,5,FMR,462,0.07859816264035387,0.9805194805194806,False,"('F1', 'M2', 'R3')"
F1@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,5,FMR,461,0.07842803674719293,0.9978308026030369,False,"('F1', 'M5', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & R4@0.3,4,FMR,457,0.07774753317454916,0.9803063457330415,False,"('F1', 'M3', 'R4')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R4@0.3,5,FMR,453,0.07706702960190541,0.9801324503311258,False,"('F1', 'M3', 'R4')"
F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,451,0.07672677781558353,0.9933481152993349,False,"('F2', 'M5', 'R5')"
